composite	lang	screens	url
OYA_dash_ar_c61110_01	ar	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_ar_c61110_01.html
OYA_dash_ar_c61110_02	ar	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_ar_c61110_02.html
OYA_dash_ar_c61110_03	ar	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_ar_c61110_03.html
OYA_dash_ar_c61110_04	ar	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_ar_c61110_04.html
OYA_dash_ar_c61110_05	ar	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_ar_c61110_05.html
OYA_dash_ar_c61110_06	ar	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_ar_c61110_06.html
OYA_dash_ar_c61110_07	ar	9	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_ar_c61110_07.html
OYA_dash_en_c61110_01	en	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_en_c61110_01.html
OYA_dash_en_c61110_02	en	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_en_c61110_02.html
OYA_dash_en_c61110_03	en	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_en_c61110_03.html
OYA_dash_en_c61110_04	en	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_en_c61110_04.html
OYA_dash_en_c61110_05	en	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_en_c61110_05.html
OYA_dash_en_c61110_06	en	14	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_en_c61110_06.html
OYA_dash_en_c61110_07	en	9	https://zaineldahaby-ctrl.github.io/oya/composites/OYA_dash_en_c61110_07.html
